ID,Pb,Pb_level,Pb_level_cat,Pb +/-,Cu,Cu +/-,Zn,Zn +/-,Ni,Ni +/-,Fe,Fe +/-,Cr,Cr +/-,Mn,Mn +/-,V,V +/-,ID_1,SmokingIndoors,HouseAge,Garden,ExteriorPeeling,InteriorPeeling,Pets,BrickConstruction,RecentRenovation,Housing_1,Housing,HeatingFuel,VacuumFrequency,Response Code,Occupant0_1.LeadExposureOccupation,Occupant0_1.LeadExposureHobby,Hobbies,MainFlooring,VacuumCleanerUsedOutside
AA0001,58,0,Low,4,505,13,1572,21,270,13,19320,170,165,5,507,7,80,4,AA0001,0,92,1,2,0,0,1,1,1929,3,Electricity,Monthly,0=No,0,3,fishing,Tile,0
AA0002,18.3,0,Low,1.3,51,3,457,5,10,3,6660,39,12.5,1.6,147,2,19,1.2,AA0002,0,43,0,1,1,1,1,0,1978,1,Gas,Monthly,1=Yes,0,0,,Wood,0
AA0003,26,0,Low,4,552,15,2029,26,148,12,9919,113,254,6,433,8,55,3,AA0003,0,33,1,2,1,0,1,1,1988,0,Electricity,Weekly,2=Do not know,0,0,,Carpet,1
AA0004,27.7,0,Low,1.9,340,7,804,9,73,5,12704,77,62,2,337,4,39.8,1.8,AA0004,1,22,0,0,0,1,1,0,1999,0,Gas,Weekly,3=Occasionally,1,0,,Carpet,3
AA0396,21.9,0,Low,1.5,92,3,606,6,,,2357,24,9.1,1.7,83,2,11.3,1.1,AA0396,0,166,1,0,0,0,1,1,1855,3,Electricity,Weekly,,0,0,n/a,Wood,0
AA0356,244,1,High,4,88,3,1058,9,27,4,10310,58,23,2,264,4,28.5,1.6,AA0356,0,161,1,1,1,0,0,1,1860,3,Electricity,Weekly,,0,3,shooting,Carpet,0
AA0212,341,1,High,4,132,4,885,8,24,4,12715,70,70,3,252,4,36.7,1.8,AA0212,0,160,1,0,0,1,1,1,1861,3,Electricity,Twice a month,,0,0,,Wood,0
AA0100,66,0,Low,3,110,5,840,10,58,6,13735,90,76,3,310,5,57,2,AA0100,1,151,0,0,0,1,0,0,1870,3,Electricity,Weekly or more,,0,0,,Carpet,0
AA0437,279,1,High,3,116,3,487,5,,,5451,35,91.7,2,113,2,14.9,0.9,AA0437,0,150,1,1,0,0,1,1,1871,3,Gas,Twice a month,,,0,,Wood,0
AA0398,566,1,High,5,201,5,8178,35,26,4,8963,54,56,2,193,3,58.7,1.9,AA0398,0,145,1,0,0,0,0,0,1876,3,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0142,62.4,0,Low,1.9,112,4,914,8,33,4,4756,35,26.1,1.8,147,3,10,1.2,AA0142,0,135,0,0,0,0,1,0,1886,3,Gas,Twice a month,,,0,,Carpet,0
AA0169,15.4,0,Low,1.4,107,3,842,7,15,3,6067,40,23.6,1.6,139,2,14,1,AA0169,0,127,0,2,0,1,0,0,1894,3,Gas,Twice a month,,1,0,,Carpet; Wood,0
AA0276,204,1,High,3,36,2,441,5,18,3,10816,55,38,2,360,4,45.6,1.7,AA0276,0,123,0,1,0,1,1,1,1898,3,Gas,Twice a month,,0,0,n/a,Wood,0
AA0401,55.1,0,Low,1.8,90,3,447,5,20,3,8021,46,40,2,296,4,28.4,1.6,AA0401,0,121,1,0,0,1,0,0,1900,3,Gas,Weekly,,1,0,n/a,Carpet,0
AA0273,210,1,High,3,261,5,1429,10,81,4,8382,47,53,2,200,3,23.9,1.3,AA0273,0,116,0,1,0,0,0,0,1905,3,Electricity,Twice a month,,0,0,n/a,Carpet,0
AA0051,225,1,High,4,63,3,539,7,56,5,31368,140,1128,9,621,7,109,3,AA0051,0,116,1,0,0,1,0,0,1905,3,Gas,Weekly or more,,0,0,,Carpet,1
AA0292,154,1,High,4,95,4,626,8,37,5,18094,106,116,3,294,4,30.3,1.8,AA0292,0,115,0,1,1,1,0,0,1906,3,Gas,Weekly,,0,0,n/a,Carpet,1
AA0013,399,1,High,4,173,4,465,6,21,3,15565,74,35,2,308,4,44.6,1.6,AA0013,1,110,0,0,0,1,0,1,1911,3,Electricity,Weekly,,0,3,fishing,Wood,1
AA0320,208,1,High,3,144,4,2003,11,,,7029,40,28.6,1.9,193,3,29.4,1.4,AA0320,0,109,1,0,1,0,1,0,1912,3,Gas,Twice a month,,0,0,n/a,Wood,3
AA0408,54.3,0,Low,1.9,135,4,1347,10,25,4,10533,57,35.2,2,372,4,27.9,1.5,AA0408,0,106,0,1,1,0,1,0,1915,3,Electricity,Weekly,,0,0,n/a,Wood,0
AA0411,9.9,0,Low,0.8,11,1.3,109.4,1.7,,,1497,12,,,44.9,1.1,,,AA0411,0,105,1,2,0,,0,1,1916,3,Electricity,Twice a month,,0,3,fishing,Wood,1
AA0170,36.6,0,Low,1.9,137,4,1480,12,41,4,12835,73,60,3,209,4,43,1.8,AA0170,0,103,1,0,0,0,0,1,1918,3,Oil,Weekly or more,,0,0,,Wood,0
AA0128,215,1,High,4,102,5,1176,12,41,5,21499,129,69,3,398,5,54,2,AA0128,0,101,0,1,1,0,0,0,1920,3,Electricity,Weekly or more,,0,0,,Wood,1
AA0289,597,1,High,5,86,3,721,7,32,3,12268,60,43,2,342,4,40.4,1.7,AA0289,0,101,1,0,1,1,1,1,1920,3,Gas,Weekly,,0,0,n/a,"Carpet, Wood, Tile",0
AA0147,13.6,0,Low,1.3,45,3,623,6,,,11725,60,57,2,213,3,32.8,1.4,AA0147,0,100,1,0,0,0,0,1,1921,3,Electricity,Twice a month,,0,0,,Wood,0
AA0007,44,0,Low,1.8,38,3,319,5,25,4,13814,71,30,2,368,4,40.5,1.6,AA0007,1,100,0,1,0,1,0,0,1921,3,Electricity,Monthly,,0,0,,Wood,0
AA0047,44,0,Low,4,290,12,1671,25,55,11,6648,94,217,6,458,8,59,3,AA0047,0,100,0,0,0,1,0,0,1921,3,Gas,Monthly or less,,,0,,Carpet,0
AA0165,56,0,Low,2,278,5,1133,9,26,3,5233,37,37.6,1.8,123,2,24.1,1.4,AA0165,0,100,0,0,0,0,1,0,1921,3,Electricity,Weekly or more,,0,0,,Carpet,0
AA0046,73,0,Low,2,195,5,802,8,19,4,7666,50,35,2,174,3,17.6,1.2,AA0046,0,100,0,0,0,1,0,0,1921,3,Gas,Monthly or less,,,0,,Carpet,0
AA0158,81,1,High,2,73,4,408,5,759,10,22884,98,79,3,428,5,52,2,AA0158,0,100,1,0,0,1,0,1,1921,3,Electricity,Twice a month,,0,0,,Wood,0
AA0444,141,1,High,3,155,4,364,5,57,4,7808,44,40.7,2,307,3,37.3,1.5,AA0444,0,100,1,0,1,1,0,1,1921,3,Gas,Monthly or less,,,1,Silversmith,Wood,0
AA0177,815,1,High,7,254,6,1279,11,29,4,24749,120,19,3,398,5,50,3,AA0177,0,100,0,1,0,1,0,0,1921,3,Electricity,Weekly or more,,0,0,,Wood,1
AA0043,1196,1,High,8,9297,40,5913,27,36,4,12525,66,80,3,221,3,248,3,AA0043,0,100,0,0,0,1,1,0,1921,3,Oil,Weekly or more,,0,0,,Wood,0
AA0190,1665,1,High,10,160,4,947,8,27,4,16653,79,35,2,343,4,46.1,2,AA0190,0,100,1,0,0,0,1,0,1921,3,Gas,Monthly or less,,0,0,,Wood,0
AA0366,77,0,Low,2,70,3,304,4,45,4,7484,46,26,2,255,4,29.3,1.7,AA0366,0,97,1,0,1,1,0,0,1924,3,Gas,Weekly,,0,0,n/a,Wood,1
AA0052,197,1,High,5,193,7,2039,19,95,7,18348,128,177,4,336,5,71,2,AA0052,0,97,1,1,1,0,1,1,1924,3,Gas,Weekly,,0,0,,Wood,0
AA0375,729,1,High,6,249,5,1424,11,111,5,18941,89,86,3,299,4,68,2,AA0375,0,97,1,1,1,0,0,1,1924,3,Gas,Weekly,,0,0,n/a,Wood,0
AA0306,21,0,Low,2,117,6,367,7,28,6,5355,57,76,3,251,5,29.7,1.9,AA0306,0,96,0,0,0,1,1,1,1925,3,Electricity,Weekly,,0,0,n/a,Carpet; Wood,0
AA0352,87.9,1,High,1.9,50,2,729,6,12,3,7357,39,109,2,224,3,32.4,1.5,AA0352,0,96,1,0,0,1,1,2,1925,3,Gas,Weekly,,0,0,n/a,Wood,3
AA0390,145,1,High,3,607,8,1025,9,37,4,16843,86,14,2,265,4,57,2,AA0390,1,96,0,0,0,0,1,1,1925,3,Electricity,Weekly,,0,0,n/a,tile,0
AA0385,6.6,0,Low,0.8,21.6,1.6,259,3,,,1269,13,3.4,1.1,61.6,1.7,2.4,0.6,AA0385,0,95,1,1,0,0,0,1,1926,3,Electricity,Monthly,,1,1,shooting,Carpet; Linoleum/vinyl; Tile,0
AA0219,13.2,0,Low,1.2,73,3,368,4,8,3,6106,36,40.5,2,251,3,35.9,1.4,AA0219,0,95,1,0,0,1,0,0,1926,3,Gas,Twice a month,,1,0,,Wood,0
AA0144,101,1,High,2,206,5,1087,9,61,4,13816,70,46,2,205,3,36.5,1.6,AA0144,0,95,1,0,0,0,0,1,1926,3,Electricity,Weekly or more,,0,0,,Wood,0
AA0377,306,1,High,4,77,3,1427,10,15,3,11088,57,81,2,403,4,68.9,1.8,AA0377,0,95,1,1,1,1,0,0,1926,3,Electricity,Twice a month,,0,0,n/a,Wood,0
AA0365,72.8,0,Low,1.8,225,4,1818,11,21,3,7788,43,32,2,172,3,45.3,1.9,AA0365,0,94,1,0,0,1,0,0,1927,3,Electricity,Twice a month,,0,3,fishing,Wood; Linoleum/vinyl,3
AA0299,90,1,High,2,336,5,1105,8,36,3,8324,44,115,3,249,3,27.4,1.5,AA0299,0,93,1,1,0,1,1,1,1928,3,Gas,Twice a month,,0,0,n/a,Wood,1
AA0159,136,1,High,3,131,4,615,7,31,4,8472,51,111,3,238,3,21.5,1.2,AA0159,0,93,1,0,0,0,1,0,1928,3,Gas,Weekly or more,,0,0,,Wood,0
AA0271,154,1,High,2,94,3,486,5,65,4,8968,45,32,2,343,4,36.4,1.5,AA0271,0,93,0,1,1,1,0,0,1928,3,Electricity,,,0,0,n/a,laminate,0
AA0340,220,1,High,3,98,3,1315,9,17,3,8240,43,163,3,219,3,44.5,1.5,AA0340,0,93,1,0,0,0,1,1,1928,3,Electricity,Weekly,,0,0,n/a,Wood,0
AA0201,67,0,Low,2,37,3,948,8,,,12815,66,69,2,246,3,35.3,1.6,AA0201,0,90,1,0,0,0,0,1,1931,3,Gas,Twice a month,,0,0,,Linoleum,0
AA0141,252,1,High,4,122,4,318,5,20,4,13259,70,41,2,409,4,37.6,1.6,AA0141,0,90,1,0,0,1,0,1,1931,3,Gas,Weekly or more,,0,0,,Wood,0
AA0445,433,1,High,5,602,8,1430,12,40,4,13362,76,23,3,233,4,68,3,AA0445,0,90,0,0,1,0,1,1,1931,3,Gas,,,0,0,n/a,Wood,0
AA0189,266,1,High,3,49,3,1495,10,33,4,16001,73,46,2,494,5,63.3,1.9,AA0189,1,86,1,0,0,1,1,0,1935,3,Gas,Weekly or more,,0,0,,Carpet,0
AA0399,56.8,0,Low,1.8,79,3,595,6,39,4,10280,54,79,3,237,3,38.4,1.6,AA0399,0,85,1,0,0,1,0,0,1936,3,Electricity,Weekly,,0,1,shooting; fishing,Carpet,0
AA0078,608,1,High,6,177,5,1494,11,45,4,16423,85,118,3,371,4,39.1,1.5,AA0078,0,85,1,1,1,0,0,1,1936,3,Gas,Weekly or more,,0,0,,Carpet,0
AA0164,10.6,0,Low,1.2,77,3,226,4,95,4,12051,58,80,2,254,3,27.2,1.3,AA0164,1,82,0,0,1,0,1,0,1939,3,Electricity,Weekly,,0,0,,Wood,0
AA0163,132,1,High,3,96,3,975,8,17,3,14259,70,50,3,259,4,108,3,AA0163,1,82,0,0,1,0,1,0,1939,3,Electricity,Weekly,,0,0,,Wood,0
AA0265,96,1,High,2,77,3,934,7,26,3,14767,63,51,2,398,4,32.5,1.5,AA0265,0,81,1,0,0,1,1,1,1940,2,Gas,Weekly,,0,3,fishing,laminate,1
AA0033,29,0,Low,3,389,9,1437,16,148,9,40513,242,216,5,430,6,146,5,AA0033,0,80,0,2,0,0,1,0,1941,2,Electricity,Weekly,,0,0,,Carpet,3
AA0216,96,1,High,2,155,4,1127,9,19,4,13769,71,56,3,292,4,66.5,1.9,AA0216,0,80,1,0,0,1,0,1,1941,2,Gas,Weekly or more,,,0,,Wood,0
AA0435,150,1,High,3,122,4,2013,12,24,3,6549,40,25.7,1.7,96,2,17,1.3,AA0435,0,80,0,0,1,0,1,0,1941,2,Gas,Twice a month,,0,0,,Wood,0
AA0138,218,1,High,3,327,6,1322,10,42,4,23184,101,42,3,285,4,35.5,1.8,AA0138,0,80,0,0,1,0,0,1,1941,2,Gas,Weekly or more,,0,0,,Carpet,0
AA0181,143,1,High,3,103,3,502,6,123,5,16277,75,90,3,290,4,50.7,1.7,AA0181,0,78,1,0,0,1,0,1,1943,2,Oil,Weekly or more,,0,0,,Carpet,0
AA0167,41.2,0,Low,1.7,152,4,1032,8,73,4,18351,83,244,4,380,4,46.9,1.8,AA0167,0,75,0,0,0,0,0,0,1946,2,Gas,Weekly or more,,0,0,,Carpet,0
AA0056,94,1,High,3,309,7,2882,19,373,9,15354,88,86,3,237,4,33.3,1.7,AA0056,0,75,1,0,0,1,0,1,1946,2,Electricity,Weekly or more,,,0,,Wood,0
AA0361,83.9,1,High,2,99,3,537,5,36,3,10213,52,93,3,270,4,35.8,1.7,AA0361,0,73,0,0,1,1,0,1,1948,2,Gas,Weekly,,0,0,n/a,Wood,0
AA0387,108,1,High,3,284,6,1506,11,56,4,14597,77,54,2,285,4,28.8,1.6,AA0387,0,73,0,0,0,0,0,1,1948,2,Electricity,Twice a month,,0,0,n/a,Carpet; Wood; Linoleum/vinyl; Tile,0
AA0413,9.6,0,Low,1,73,3,299,4,25,3,6637,35,110,4,105,4,16.4,1.7,AA0413,0,72,0,0,0,0,0,1,1949,2,Electricity,Weekly,,1,1,shooting,Carpet,0
AA0243,23.3,0,Low,1.1,13.3,1.6,207,3,,,2224,17,10.9,1.2,70.1,1.8,5.1,0.7,AA0243,1,71,0,0,0,1,,1,1950,2,Gas,Weekly,,0,0,,Carpet; Wood,
AA0125,314,1,High,5,161,5,963,10,39,5,13440,82,36,2,348,4,30.2,1.6,AA0125,0,71,1,1,0,0,0,1,1950,2,Electricity,Twice a month,,0,0,,Wood,0
AA0391,27.1,0,Low,1.4,117,3,475,5,21,3,9772,51,98,3,324,4,33.1,1.5,AA0391,0,70,1,0,0,1,0,0,1951,2,Gas,Twice a month,,0,0,n/a,Wood,0
AA0014,180,1,High,3,158,4,632,7,41,4,8397,54,22.2,1.8,184,3,29.1,1.3,AA0014,0,70,1,0,0,1,0,0,1951,2,Electricity,Weekly,,0,0,,Carpet,0
AA0042,211,1,High,4,2923,20,5382,27,89,5,15700,84,68,3,261,4,61.1,2,AA0042,0,70,1,0,0,0,1,0,1951,2,Electricity,Monthly or less,,,0,,Other,0
AA0136,245,1,High,3,82,3,573,5,13,3,4289,29,34.2,1.6,108,2,15.2,1,AA0136,0,70,1,0,0,0,0,0,1951,2,Electricity,Twice a month,,0,1,"soocer, fishing and gym",Wood,0
AA0305,42.2,0,Low,1.5,146,3,1055,8,20,3,4715,31,37.2,2,196,3,14.3,1.1,AA0305,0,69,1,1,0,0,0,0,1952,2,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0259,81,1,High,2,71,3,643,6,44,4,8358,47,59,2,258,3,29.3,1.4,AA0259,1,69,0,1,0,0,0,0,1952,2,Gas,Weekly,,0,0,n/a,Carpet,0
AA0284,11.9,0,Low,1.3,,,106,3,,,1328,18,17.9,1.6,103,2,9.1,0.9,AA0284,0,68,0,0,0,1,0,1,1953,2,Gas,Weekly,,0,0,n/a,Carpet,0
AA0381,23.1,0,Low,1.3,84,3,447,5,14,3,3279,25,48.7,1.7,98,2,12.3,1.1,AA0381,0,68,0,0,0,1,0,0,1953,2,Electricity,Weekly,,0,0,n/a,Carpet; Wood; Linoleum/vinyl; Tile,0
AA0382,30.8,0,Low,1.7,182,5,3203,18,82,5,9639,57,37,2,148,3,24.2,1.6,AA0382,0,67,0,0,1,1,0,0,1954,2,Electricity,Weekly,,0,0,n/a,Wood,0
AA0274,87,1,High,2,47,3,507,5,16,3,14206,64,25,2,279,4,35.4,1.5,AA0274,0,67,1,2,0,0,0,1,1954,2,Electricity,Twice a month,,0,1,shooting range; fishing with lead sinkers,Wood,0
AA0405,25.4,0,Low,1.6,92,3,849,8,20,4,6556,45,86,3,213,3,30.6,1.9,AA0405,0,66,1,0,0,0,0,0,1955,2,Electricity,Monthly,,0,0,n/a,Carpet,0
AA0412,239,1,High,5,83,5,856,12,25,6,12796,102,146,4,531,7,57,3,AA0412,0,66,1,1,1,1,0,0,1955,2,Gas,Twice a month,,0,0,n/a,Carpet,0
AA0403,,,,,25,5,136,6,,,4650,70,57,5,174,7,26,3,AA0403,0,66,1,0,0,1,0,0,1955,2,Electricity,Weekly,,0,0,n/a,Wood,0
AA0400,13.4,0,Low,1.3,60,3,541,6,,,5769,37,24.8,1.7,175,3,12.2,1,AA0400,0,65,1,0,0,1,0,0,1956,2,Electricity,Weekly,,0,0,n/a,Linoleum/vinyl,0
AA0156,53,0,Low,2,84,3,441,6,41,4,14029,74,73,3,229,4,54.7,2,AA0156,1,65,1,0,0,0,1,1,1956,2,Gas,Weekly or more,,0,3,Fly Fishing,Wood,0
AA0061,1304,1,High,12,171,6,7320,43,61,7,176712,817,388,9,12735,91,65,4,AA0061,0,65,0,0,0,0,1,0,1956,2,Electricity,Monthly or less,,0,0,,Wood,0
AA0443,,,,,,,,,,,,,,,,,,,AA0443,0,65,1,1,0,0,1,1,1956,2,Gas,Twice a month,,0,1,fishing,Wood,0
AA0187,28.3,0,Low,1.6,51,3,410,5,97,5,22501,97,133,3,522,5,49.2,2,AA0187,0,64,1,0,0,1,0,0,1957,2,Gas,Twice a month,,0,0,,Wood,0
AA0449,39.6,0,Low,1.5,153,4,885,7,23,3,6965,40,60,2,320,4,30.5,1.4,AA0449,0,64,1,1,0,0,,1,1957,2,Electricity,Twice a month,,0,0,n/a,Carpet; cork tile,occassionally
AA0324,21.7,0,Low,1.1,42,2,237,3,9,2,5298,30,34.6,1.7,169,3,13.7,1,AA0324,0,63,1,1,1,1,0,1,1958,2,Electricity,Weekly,,0,0,n/a,Carpet; Linoleum/vinyl,0
AA0074,110,1,High,5,575,15,3694,38,137,11,19852,181,196,6,521,8,83,4,AA0074,0,63,1,1,0,1,1,0,1958,2,Gas,Monthly,,0,0,,Carpet,0
AA0035,50.2,0,Low,1.8,79,3,504,6,31,3,9154,51,56,2,260,4,28.7,1.7,AA0035,0,62,1,0,1,1,1,0,1959,2,Electricity,Twice a month,,0,3,fishing,Carpet,3
AA0175,17.5,0,Low,1.4,327,5,1204,9,39,4,11703,61,46,2,196,3,47.9,1.8,AA0175,0,61,0,0,0,0,,0,1960,1,Electricity,Weekly,,0,0,,Wood,0
AA0383,18.2,0,Low,1.5,59,3,548,7,33,4,3548,32,22,2,103,3,26,2,AA0383,0,60,1,0,1,1,1,1,1961,1,Gas,Weekly,,0,0,n/a,Carpet; Wood; Tile,0
AA0374,24.7,0,Low,1.5,146,4,205,4,39,4,13850,68,46,2,574,5,43.8,1.9,AA0374,0,60,1,1,0,1,1,1,1961,1,Electricity,Weekly,,0,0,n/a,Wood,0
AA0041,30.8,0,Low,1.6,105,4,314,5,330,7,9664,57,21,2,226,4,22.1,1.5,AA0041,0,60,1,0,0,1,1,0,1961,1,Electricity,Weekly,,0,0,,Carpet,1
AA0328,36.3,0,Low,1.9,65,3,396,6,,,8241,55,31.7,2,232,3,29.9,1.5,AA0328,1,60,0,2,1,1,1,0,1961,1,Electricity,Weekly,,0,0,n/a,Carpet,0
AA0388,37.9,0,Low,1.7,27,2,152,3,21,3,16958,80,40,3,350,5,58,2,AA0388,0,60,0,1,0,0,0,0,1961,1,Electricity,Weekly,,0,0,n/a,Carpet,1
AA0040,41.1,0,Low,1.7,141,4,381,5,21,3,11878,61,24,2,346,4,38.4,1.8,AA0040,0,60,1,0,0,1,0,1,1961,1,Electricity,Monthly,,1,1,shooting range,Linoleum/vinyl,0
AA0161,41.8,0,Low,2,158,4,1150,10,35,4,10922,65,46.9,2,204,3,24.6,1.4,AA0161,0,60,1,0,0,1,0,1,1961,1,Gas,Weekly or more,,0,0,,Wood,0
AA0174,82,1,High,2,238,5,876,7,592,9,7050,43,46,2,196,3,21.9,1.4,AA0174,0,60,1,0,1,0,1,1,1961,1,Gas,Twice a month,,0,1,fishing,Wood,0
AA0330,32.3,0,Low,1.4,48,2,194,3,23,3,7792,41,24.6,1.9,263,3,27.9,1.4,AA0330,0,59,1,1,0,1,1,1,1962,1,Electricity,Weekly,,0,0,n/a,Wood,0
AA0260,39,0,Low,1.5,76,3,521,5,15,3,7011,39,29.2,1.9,193,3,27,1.4,AA0260,0,57,0,1,0,1,1,0,1964,1,Electricity,Weekly,,0,0,n/a,Carpet; Wood,0
